,soundtrack,valence,energy,tension,anger,fear,happy,sad,tender,beauty,liking,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,entropy_fft,entropy_welch,novelty_mean,novelty_std,novelty_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,target
0,Lethal weapon 3,2.56,7.73,8.38,6.39,4.4,1.21,1.75,1.01,4.71,4.97,113.45510676614356,5816,252.8695652173913,0.42159614,0.27941424,0.07807232,0.44662127,0.2836778,0.08047309,0.22518937385876373,0.18061860157367865,0.03262307923443127,0.7084935,2.4029837,5.7743306,0.77428144,38.3064,1467.3804,0.0037741796,1.8378611,3.3777335,0.112627044,0.03023262,0.0009140113,1762.2018138112746,387.45658365871765,150122.60422048488,1957.4033383234676,294.7219007553883,86860.99878486895,20.71449192085358,7.442390908698073,55.38918243787173,3524.7546722127827,863.7865300122976,746127.1694306858,12.288172,4.487983,1.5053047,0.77463245,0.60005546,1.729011704029772,1.9191203172151938,3.6830227919481464,0.09829424179905279,0.11320120256973665,0.01281451226323455,0.09877724922973792,0.03493068327181167,0.0012201526338356233,-0.0004665987,0.09354971,0.008751549,-0.0017868745,0.03751217,0.0014071629,4.576911060720585,2.7882524903258026,7.77435194980804,ANGER_HIGH
1,The Rainmaker,2.5,8.21,8.56,5.76,5.93,1.09,1.6,1.1,4.57,4.79,124.2603550295858,7067,271.8076923076923,0.41903585,0.3023992,0.091445275,0.41625705,0.2779497,0.077256024,0.22957750992217768,0.17500714348638952,0.03062750027126573,0.7164023,5.072487,25.730125,-6.153596,79.75905,6361.5054,-0.025156535,3.0012243,9.007347,0.07320853,0.08974638,0.008054412,1260.1460133904097,629.6226483336159,396424.6792946362,1575.1203205927593,576.4208997193216,332261.0536332322,20.26095551615378,6.985873600196217,48.80242995791845,2374.7432996867383,1454.2702112306627,2114901.847272876,12.759279,4.366117,1.3142858,1.4947951,2.2344124,1.073739033339499,2.3224727701340147,5.393879768013963,-0.012076880722053153,0.14447941161423056,0.020874300380394256,0.06562338592024067,0.03841230943487742,0.0014755055161207729,-2.8608194e-05,0.08464657,0.007165041,1.643206e-05,0.048022017,0.002306114,7.956704459561603,4.090166432099973,16.729461442277422,ANGER_HIGH
2,The Alien Trilogy,2.92,8.21,8.17,6.31,4.06,1.31,1.55,1.01,4.45,5.06,153.49808562478245,11072,299.2432432432432,0.5588426,0.24904369,0.062022757,0.5443698,0.22341765,0.04991545,0.27363591814934146,0.0919604133956575,0.008456717631900222,0.24484678,0.84711295,0.7176004,-2.0007463,41.820213,1748.9303,-0.0049130423,1.5545741,2.4167008,0.06365282,0.01986049,0.00039443906,1890.9314102297003,330.4562516528336,109201.3342564409,2260.2312682821234,270.502824302389,73171.77795556912,17.658414586795917,6.9664364138847,48.53123630869871,4122.197821825709,935.5853890966765,875320.0202911795,13.041058,3.9707713,1.678751,0.808122,0.65306115,1.0487237941433294,1.1467346078695144,1.3150002608856493,0.013630752438412172,0.06956783843370148,0.0048396841443375934,0.08128920986736984,0.021094015567587457,0.00044495749276562204,-3.1199028e-07,0.043094125,0.0018571035,-1.6225336e-05,0.02866175,0.00082149595,3.0940589569160997,1.5003554425528893,2.2510664539980767,ANGER_HIGH
3,Cape Fear,2.88,6.75,7.98,5.42,4.51,1.19,2.1,1.06,4.0,4.35,108.72781065088758,5642,256.45454545454544,0.42886993,0.28827623,0.08310318,0.30690187,0.27979523,0.07828537,0.1942938755580899,0.21350227927109072,0.04558322325395082,0.2659072,0.9476248,0.89799273,-6.793347,44.788742,2006.0315,-0.008941419,1.5742542,2.4782763,0.06854313,0.018796345,0.00035330257,1908.6912453658642,542.4180325080949,294217.3219899527,2064.6958674151497,429.8483208676511,184769.57895273916,22.748017780838477,6.796673637974487,46.19477254113735,3922.2354216540944,1297.0967199717268,1682459.9009614121,11.64268,4.546435,1.3587176,0.5842897,0.34139448,0.9163497588389524,0.971906505604039,0.944602255635454,0.017774568372442134,0.21353271156117565,0.04559621890666824,0.09835525039761045,0.03548790312618778,0.001259391268293688,7.716396e-07,0.06524543,0.0042569656,-1.0416696e-05,0.012110429,0.0001466625,6.238427815570673,5.237908603616981,27.435686539844795,ANGER_HIGH
4,The Fifth Element,3.08,6.83,7.5,6.13,4.24,1.07,2.96,1.07,5.08,5.35,59.30607853684777,4013,286.64285714285717,0.56906176,0.23411907,0.054811742,0.5054853,0.24439032,0.05972663,0.25728347307190447,0.13091427659881835,0.01713854781739192,0.58381057,3.2356086,10.469163,3.1722846,51.02023,2603.064,0.0021282283,1.5778271,2.4895382,0.09452525,0.037814245,0.0014299172,1332.726998171549,411.1685858746561,169059.60601016448,1745.953907862418,437.7826069442294,191653.61094288566,20.04575756878925,7.800049952513094,60.84077926169952,2867.5403383468442,1059.633301353854,1122822.7333380678,12.220615,3.372627,1.571163,0.5919459,0.3503999,1.3176045073281837,1.5047681813966374,2.2643272797437435,0.0140356930518577,0.06902178550974118,0.004764006874952718,0.055947834961699,0.022599756640339995,0.0005107490002025916,-5.7478394e-07,0.07159555,0.005125923,-1.1077705e-05,0.037861302,0.0014334782,7.690964978584026,3.89323205800932,15.157255857511485,ANGER_HIGH
5,Crouching Tiger jne.,4.9,8.0,7.52,3.27,2.99,2.55,1.55,1.12,4.42,4.73,118.61215707369554,7536,279.1111111111111,0.41955218,0.27927712,0.0779957,0.44902346,0.25029916,0.06264967,0.2541912106230369,0.13682164220373993,0.01872016177532823,0.28400713,1.1507169,1.3241495,-3.373607,53.061253,2815.4966,0.0054837842,2.0424378,4.1715517,0.06835778,0.020431539,0.00041744782,1350.815496941814,271.98795281656066,73977.44647734362,1576.0815825168831,265.19637900745977,70329.11943866826,19.760670837345483,6.677943369451302,44.59492764559862,2617.930195536599,616.5194522375361,380096.23498727154,12.803327,4.1021247,1.9084268,1.4206583,2.01827,1.0293624618292112,1.119260912242433,1.2527449896737635,0.02627211551713388,0.0928025262829143,0.008612308884490999,0.06970090425830666,0.015858525725746864,0.00025149283819417506,-6.8697836e-06,0.051356897,0.002637531,-2.6905511e-06,0.028159924,0.00079298136,1.3502403628117912,0.9316462456106792,0.8679647269604741,ANGER_MODERATE
6,Batman Returns,3.83,7.94,7.94,4.64,4.6,1.49,2.07,1.04,5.34,5.58,63.645547698080534,4586,305.73333333333335,0.53091323,0.28319824,0.08020124,0.31248719,0.2504838,0.06274214,0.2197788525604621,0.18716460482831682,0.03503058930054,0.6326377,5.232947,27.383734,0.0922414,55.37433,3066.3164,0.006930716,1.4897634,2.219395,0.09540184,0.04334665,0.001878932,1114.157588227111,208.0925557579848,43302.51176189001,1555.680267574717,199.8524785518959,39941.013183336014,20.35663230131656,7.077727792073161,50.094230698684825,2242.343304843305,474.5683252456859,225215.09532649512,9.170821,2.5908728,1.6298169,0.7277273,0.52958703,1.0362999505724142,1.1366563743013565,1.2919877132399056,-0.06479618331878977,0.13715256227787237,0.01881082533938566,0.042460514627279164,0.019907602185221095,0.0003963126247650198,2.8836216e-06,0.093136474,0.008674403,-9.644742e-05,0.023883838,0.0005704377,3.0708390022675736,1.7056929673376384,2.909388498825078,ANGER_MODERATE
7,Man of Galilee CD1,4.0,6.21,7.08,3.81,3.19,1.19,5.15,1.37,6.0,5.79,200.7282658170232,50315,571.7613636363636,0.4243385,0.2694904,0.07262507,0.3949347,0.2518063,0.06340641,0.23563409179340983,0.1667630298298404,0.02780990811802824,0.8335288,3.7124488,13.782277,2.402791,45.066143,2030.9574,0.011330822,1.1980733,1.4353795,0.119192936,0.031626612,0.0010002427,1367.0795468992221,292.0122678632259,85271.16458262439,1722.1073320958162,282.4092402015187,79754.97895119907,21.502773086344153,6.7897509431888325,46.10071787053364,2685.1196129720392,638.0215557714791,407071.5056290587,12.504729,4.0731897,1.5340573,0.48991635,0.24001803,1.6186783391425112,1.696093042353932,2.876731608321417,-0.028326591119236712,0.11947760984770396,0.014274899254920167,0.06883076185736142,0.02003854298671101,0.0004015432050302651,-8.8577275e-07,0.10135988,0.010273826,-1.836182e-05,0.03289505,0.0010820843,7.568544217687075,5.54502763154687,30.747331434618292,ANGER_MODERATE
8,The Untouchables,4.54,8.31,7.94,4.13,4.12,1.91,1.37,1.0,4.55,5.64,118.61215707369554,7299,280.7307692307692,0.44967863,0.28953046,0.08382789,0.5267862,0.24424659,0.059656393,0.26675639855121963,0.11033746945311106,0.012174357165316216,0.20181893,1.388504,1.9279436,-3.998803,55.061962,3031.8198,0.00247207,3.518954,12.383038,0.050288722,0.034577116,0.001195577,1847.2704626962127,536.1269547268571,287432.1115846934,2001.34372128902,411.1381704291993,169034.59518386933,19.108151146942888,7.001610011892692,49.02254275863597,3709.03809477236,1173.091180667813,1376142.9181606036,13.154917,4.0620966,2.153324,2.5549607,6.5278244,0.7613555369354585,1.0860754648063826,1.1795599152543998,0.016808853731015164,0.08065246503828206,0.006504820116751311,0.09456964203281716,0.03692498744265938,0.0013634546976405528,-0.0012737301,0.035846256,0.0012849541,-0.0013942431,0.034173626,0.0011678368,2.391655328798186,1.4661889135876673,2.149709930327384,ANGER_MODERATE
9,Oliwer Twist,2.44,6.67,8.13,4.42,5.91,1.04,2.21,1.07,4.85,5.05,130.47337278106508,10142,316.9375,0.57023066,0.25663543,0.06586174,0.48460498,0.2567557,0.06592349,0.2425620166605411,0.15651517947759797,0.024497001406904702,0.37635586,1.7874416,3.1949475,0.5697529,71.072914,5051.359,0.0030668657,1.0018549,1.0037131,0.07612975,0.028565533,0.0008159897,793.7594952850271,236.65872866653459,56007.353854060435,1127.3988670759247,190.43640155756796,36266.02303819527,19.870504953754196,6.406508922959206,41.04335657995592,1521.8365450070692,563.0983752177655,317079.7801728874,11.481804,3.3078039,1.4603676,0.42895725,0.18400432,0.9586629101068187,1.1451106298356686,1.3112783545626416,-0.03598280223006059,0.08878146622951985,0.007882148745863375,0.03522221742322809,0.015115450024250682,0.00022847682943561996,-9.352528e-07,0.0625449,0.003911864,-3.5103923e-05,0.02427016,0.00058904063,5.937342403628119,3.454323169325929,11.932348558141928,ANGER_MODERATE
